年月,平均湿度(％),平均気温(℃),日照時間(時間)
1958/1,76,2.3,75.5
1958/2,73,3.6,92.8
1958/3,74,4.9,128.3
1958/4,71,10.5,209.5
1958/5,73,15.4,264.5
1958/6,77,20.7,259.9
1958/7,87,23.7,169.2
1958/8,84,24.4,172.0
1958/9,84,21.2,132.4
1958/10,78,15.1,145.6
1958/11,82,9.3,100.4
1958/12,77,6.8,85.5
1959/1,75,1.7,57.5
1959/2,75,4.4,81.1
1959/3,75,6.6,134.6
1959/4,68,12.0,215.6
1959/5,74,16.1,204.9
1959/6,78,19.9,224.6
1959/7,83,23.7,180.4
1959/8,80,25.1,223.8
1959/9,77,22.3,163.4
1959/10,77,16.0,150.2
1959/11,77,10.2,114.8
1959/12,79,5.3,63.3
1960/1,76,2.3,67.9
1960/2,75,3.5,101.2
1960/3,70,5.9,153.2
1960/4,67,10.0,217.5
1960/5,74,15.8,169.4
1960/6,77,19.9,189.1
1960/7,83,23.5,197.1
1960/8,75,26.5,256.7
1960/9,78,21.7,173.8
1960/10,74,15.6,173.7
1960/11,76,11.1,102.0
1960/12,78,5.0,46.1
1961/1,81,0.9,60.1
1961/2,73,1.6,107.5
1961/3,72,4.8,180.5
1961/4,65,11.4,230.5
1961/5,69,17.2,242.6
1961/6,80,19.7,174.5
1961/7,81,26.0,237.1
1961/8,78,26.2,270.6
1961/9,74,23.8,225.4
1961/10,76,17.1,136.3
1961/11,74,10.5,127.6
1961/12,78,5.5,81.8
1962/1,76,2.6,72.6
1962/2,72,2.8,122.1
1962/3,72,4.8,130.7
1962/4,69,11.1,208.7
1962/5,70,16.7,263.9
1962/6,80,19.2,174.3
1962/7,79,25.2,252.4
1962/8,75,26.6,285.8
1962/9,75,22.3,169.2
1962/10,77,14.4,155.6
1962/11,77,9.6,83.7
1962/12,75,5.8,73.4
1963/1,80,1.2,41.9
1963/2,76,1.9,108.1
1963/3,66,4.7,199.6
1963/4,67,11.5,210.2
1963/5,76,16.4,184.7
1963/6,79,20.5,144.5
1963/7,82,24.6,189.8
1963/8,77,25.7,244.3
1963/9,74,19.8,179.8
1963/10,73,15.1,147.0
1963/11,74,9.9,106.1
1963/12,75,5.9,91.0
1964/1,74,3.3,65.1
1964/2,74,1.7,97.5
1964/3,70,5.1,152.2
1964/4,75,12.5,162.9
1964/5,69,16.9,265.0
1964/6,77,19.5,198.3
1964/7,84,23.9,193.1
1964/8,77,27.3,260.6
1964/9,80,20.3,132.3
1964/10,74,14.8,156.7
1964/11,73,9.6,134.6
1964/12,77,5.0,66.5
1965/1,78,2.3,74.6
1965/2,73,1.9,100.0
1965/3,71,3.9,153.8
1965/4,67,8.3,188.2
1965/5,69,16.0,216.6
1965/6,77,20.1,232.8
1965/7,85,22.2,138.7
1965/8,74,26.0,309.6
1965/9,78,20.9,177.6
1965/10,73,14.8,205.9
1965/11,71,9.8,109.9
1965/12,79,4.2,51.4
1966/1,74,1.9,63.9
1966/2,74,3.4,108.4
1966/3,68,6.0,140.9
1966/4,68,10.7,219.3
1966/5,70,15.2,231.4
1966/6,76,19.5,183.9
1966/7,82,23.0,148.8
1966/8,75,26.4,267.8
1966/9,76,21.2,131.8
1966/10,77,16.5,159.4
1966/11,75,9.3,106.9
1966/12,79,3.0,61.6
1967/1,74,1.5,55.7
1967/2,73,1.8,102.6
1967/3,68,5.7,175.4
1967/4,69,10.9,178.7
1967/5,71,16.9,275.1
1967/6,74,20.4,236.3
1967/7,80,24.8,210.0
1967/8,79,26.0,221.1
1967/9,76,21.9,161.2
1967/10,73,15.0,133.0
1967/11,74,9.3,94.8
1967/12,82,3.3,51.0
1968/1,76,1.8,48.3
1968/2,77,0.8,94.5
1968/3,72,5.6,155.6
1968/4,72,11.0,180.9
1968/5,73,15.0,207.2
1968/6,74,20.6,256.0
1968/7,73,25.1,251.0
1968/8,79,25.2,194.9
1968/9,70,21.5,203.5
1968/10,75,14.4,104.7
1968/11,77,10.5,127.6
1968/12,78,7.2,60.8
1969/1,82,1.5,49.6
1969/2,79,1.7,66.6
1969/3,70,3.7,142.9
1969/4,71,10.8,175.7
1969/5,65,16.1,258.5
1969/6,73,20.1,182.7
1969/7,76,24.2,176.9
