,1,2,3,4,5,6,7,8,9,10,11,12
1958,76,73,74,71,73,77,87,84,84,78,82,77
1959,75,75,75,68,74,78,83,80,77,77,77,79
1960,76,75,70,67,74,77,83,75,78,74,76,78
1961,81,73,72,65,69,80,81,78,74,76,74,78
1962,76,72,72,69,70,80,79,75,75,77,77,75
1963,80,76,66,67,76,79,82,77,74,73,74,75
1964,74,74,70,75,69,77,84,77,80,74,73,77
1965,78,73,71,67,69,77,85,74,78,73,71,79
1966,74,74,68,68,70,76,82,75,76,77,75,79
1967,74,73,68,69,71,74,80,79,76,73,74,82
1968,76,77,72,72,73,74,73,79,70,75,77,78
1969,82,79,70,71,65,73,76,79,75,69,75,80
1970,80,72,70,69,69,78,75,76,74,73,76,76
1971,76,75,71,67,71,80,80,75,76,72,75,76
1972,74,73,77,68,70,73,77,80,78,71,73,78
1973,73,72,70,68,70,80,75,76,76,72,75,78
1974,71,75,74,67,67,75,81,77,76,75,70,75
1975,75,72,66,69,74,78,78,71,73,72,71,75
1976,72,71,66,66,70,81,75,81,76,74,69,70
1977,74,74,68,69,72,74,79,75,75,70,73,74
1978,73,71,64,66,69,79,75,72,73,70,75,74
1979,78,76,69,67,73,76,78,76,76,77,76,76
1980,77,73,70,66,69,76,85,79,76,76,76,81
1981,76,79,68,69,73,83,78,79,76,77,75,74
1982,75,73,68,66,73,73,74,77,74,68,71,77
1983,72,76,69,65,66,73,83,77,75,69,74,71
1984,78,74,70,70,72,76,83,74,73,69,70,76
1985,74,73,74,69,69,72,79,67,76,73,72,75
1986,72,72,66,68,66,75,78,73,72,74,69,68
1987,72,68,71,62,66,67,75,75,67,69,66,71
1988,71,67,66,66,69,74,75,70,72,67,71,69
1989,70,68,66,65,68,70,71,70,77,68,71,69
1990,71,69,64,67,70,73,71,69,71,72,73,71
1991,72,72,66,65,68,75,80,75,74,73,72,71
1992,72,72,70,67,70,72,75,71,66,72,70,71
1993,65,62,65,61,70,80,78,76,75,69,73,71
1994,76,68,65,60,63,75,77,71,73,71,70,73
1995,74,67,66,62,70,75,81,77,73,70,68,74
1996,72,71,67,62,72,78,76,71,73,70,74,74
1997,73,70,66,71,71,79,79,74,76,71,73,73
1998,81,74,67,74,73,77,74,82,77,74,72,74
1999,74,74,67,68,67,76,77,71,76,72,77,78
2000,76,75,68,66,74,78,78,73,75,74,73,73
2001,76,76,68,63,67,79,73,72,71,69,74,73
2002,75,71,66,61,71,70,78,71,70,71,73,74
2003,73,68,64,70,66,73,78,77,73,65,69,69
2004,69,66,61,61,70,71,73,67,71,71,70,69
2005,70,72,67,59,65,70,76,74,68,70,70,71
2006,67,69,65,63,70,73,81,71,70,71,71,74
2007,68,63,66,64,66,75,78,71,70,69,68,72
2008,69,70,65,64,64,71,75,73,70,69,70,69
2009,69,66,62,66,65,68,80,76,70,69,71,71
2010,71,73,68,65,71,76,75,73,73,71,70,72
2011,74,67,67,63,69,76,73,74,72,68,73,73
2012,72,75,71,66,71,72,77,73,71,68,71,74
