年月,1,2,3,4,5,6,7,8,9,10,11,12
1958,176.6,97.1,100.8,131.3,57.4,86.5,511.8,244.0,337.3,206.9,214.6,186.9
1959,264.5,125.7,199.2,87.6,91.7,86.6,227.3,201.9,119.5,159.0,150.5,280.8
1960,207.9,108.0,133.8,75.6,77.0,114.7,180.3,111.5,179.6,102.0,193.5,397.1
1961,305.6,191.8,82.9,96.2,54.1,190.6,154.9,250.6,156.0,151.3,221.1,242.0
1962,249.5,131.1,103.9,75.3,105.2,154.4,88.8,46.9,89.9,205.7,199.7,289.6
1963,359.7,148.2,101.7,105.9,205.5,114.0,129.3,191.7,171.3,158.6,161.5,179.1
1964,125.2,114.0,98.8,132.2,62.3,98.5,351.7,142.2,294.5,178.8,190.5,157.9
1965,249.4,120.2,74.8,58.9,128.1,159.8,307.1,39.5,138.8,138.1,181.2,290.4
1966,105.6,118.8,117.1,68.2,118.1,109.9,412.3,51.7,210.1,263.0,195.7,243.7
1967,194.6,133.6,102.7,92.3,52.6,88.7,90.6,352.0,123.4,118.6,137.3,334.1
1968,218.5,173.0,124.5,82.0,75.5,43.0,38.5,266.0,32.5,183.0,186.5,227.5
1969,296.0,119.5,137.0,139.5,80.5,57.0,178.0,146.5,166.5,161.5,176.0,330.0
1970,188.5,80.5,73.5,39.0,35.0,61.0,177.5,50.5,186.0,161.0,268.5,180.0
1971,148.0,109.5,87.5,83.5,77.0,196.5,313.5,121.5,211.5,103.5,187.0,242.0
1972,130.5,117.5,175.5,105.0,137.5,113.5,168.0,218.5,145.5,127.5,283.5,182.0
1973,158.5,108.0,88.5,94.5,53.0,79.5,14.5,39.5,134.5,147.0,302.0,334.5
1974,144.5,112.0,109.5,69.5,97.5,58.0,220.0,102.5,170.5,151.5,126.5,97.5
1975,165.5,115.0,84.0,33.5,99.5,85.0,149.0,87.0,69.5,285.0,129.5,184.0
1976,193.5,180.0,81.0,102.5,58.0,170.5,109.0,430.5,190.0,109.5,156.0,198.5
1977,151.5,128.0,94.0,96.0,108.0,61.5,90.0,150.0,126.0,15.5,272.0,247.5
1978,205.5,146.0,73.5,84.0,53.0,378.0,34.5,111.5,114.5,99.0,135.5,123.0
1979,151.5,162.0,85.0,106.5,67.0,93.5,271.0,130.0,191.5,168.0,216.5,193.5
1980,225.0,128.5,95.5,140.5,128.0,119.5,270.5,250.0,62.0,233.5,84.5,287.0
1981,132.5,111.0,73.0,93.0,160.5,250.0,102.0,213.0,119.0,266.0,268.5,127.5
1982,160.0,61.5,82.5,108.0,110.0,71.0,152.5,38.5,143.0,74.0,170.0,293.5
1983,184.0,262.0,128.0,116.0,84.5,63.5,271.0,89.5,172.5,136.0,205.5,120.5
1984,231.5,101.0,116.5,70.5,74.0,89.5,307.0,17.5,217.5,118.5,126.0,263.0
1985,126.0,79.5,153.0,80.5,215.0,73.5,305.0,3.5,313.0,192.5,370.0,316.0
1986,206.0,97.5,120.5,95.5,74.0,137.5,150.5,67.5,102.5,219.5,97.5,110.5
1987,140.0,123.0,121.5,48.5,145.0,52.0,236.0,166.0,60.0,92.5,123.0,195.5
1988,208.5,149.0,120.5,100.0,146.0,100.0,182.0,40.0,144.5,172.0,346.0,177.5
1989,149.5,138.5,109.5,128.0,76.0,89.5,105.0,116.5,331.5,151.0,191.5,233.5
1990,218.0,113.0,74.0,118.0,64.0,158.0,75.5,85.0,132.5,178.5,200.5,179.0
1991,173.0,194.0,82.5,90.0,91.5,135.0,315.5,156.5,112.5,190.5,245.5,132.5
1992,198.5,205.0,128.0,126.5,111.0,97.5,114.5,88.0,25.5,148.0,123.5,188.0
1993,144.5,167.5,133.5,87.5,145.0,151.5,210.0,181.5,122.0,128.5,172.5,187.0
1994,223.0,105.0,73.5,20.5,36.5,62.0,63.0,65.0,293.0,126.0,167.5,210.5
1995,233.0,67.5,113.5,114.5,47.5,52.0,358.0,303.5,185.0,70.5,230.5,302.5
1996,197.5,111.5,148.5,45.5,130.0,185.0,80.0,84.0,131.0,114.0,219.0,253.5
1997,169.5,92.0,98.0,149.5,188.0,293.0,257.5,129.5,205.0,143.5,161.5,188.5
