年,Yield/10a(t)
2012,539
2011,539
2010,539
2009,539
2008,539
2007,539
2006,539
2005,539
2004,539
2003,536
2002,531
2001,528
2000,528
1999,528
1998,528
1997,530
1996,530
1995,530
1994,530
1993,530
1992,530
1991,530
1990,530
1989,528
1988,526
1987,521
1986,516
1985,510
1984,508
1983,508
1982,503
1981,503
1980,499
1979,499
1978,499
1977,490
1976,490
1975,480
1974,472
1973,472
1972,478
1971,478
1970,475
1969,467
1968,452
1967,444
1966,444
1965,444
1964,439
1963,433
1962,425
1961,414
1960,409
1959,400
1958,381
