年,月,平均気温(℃),日照時間(時間),
2003,1,2.3,70.5,
2003,2,3.5,92.2,
2003,3,5.5,148.1,
2003,4,11.8,151.4,
2003,5,17.4,237.9,
2003,6,21.4,146.8,
2003,7,22.0,128.0,
2003,8,24.9,109.2,
2003,9,22.3,147.6,
2003,10,15.8,161.8,
2003,11,12.1,91.7,
2003,12,6.8,50.7,
2004,1,3.0,71.2,
2004,2,4.5,98.9,
2004,3,6.4,139.0,
2004,4,12.0,198.6,
2004,5,17.5,146.6,
2004,6,21.5,190.6,
2004,7,26.0,212.9,
2004,8,26.0,241.4,
2004,9,23.6,141.0,
2004,10,16.5,108.0,
2004,11,13.0,91.7,
2004,12,6.8,89.5,
2005,1,3.1,58.0,
2005,2,1.9,38.7,
2005,3,5.0,101.4,
2005,4,11.7,205.1,
2005,5,15.4,203.8,
2005,6,22.4,195.4,
2005,7,24.3,118.0,
2005,8,27.1,201.2,
2005,9,23.6,158.3,
2005,10,17.5,132.4,
2005,11,10.3,90.5,
2005,12,2.7,59.0,
2006,1,1.9,36.8,
2006,2,3.4,68.4,
2006,3,5.6,129.3,
2006,4,10.2,138.7,
2006,5,16.5,145.9,
2006,6,20.8,171.7,
2006,7,23.3,98.3,
2006,8,27.8,274.3,
2006,9,22.1,171.4,
2006,10,17.2,158.5,
2006,11,11.3,98.2,
2006,12,6.1,29.3,
2007,1,4.9,75.3,
2007,2,5.1,119.4,
2007,3,6.0,103.1,
2007,4,10.8,168.2,
2007,5,16.8,192.8,
2007,6,21.3,197.0,
2007,7,22.9,115.2,
2007,8,27.0,220.6,
2007,9,24.7,188.5,
2007,10,16.7,146.8,
2007,11,10.2,102.4,
2007,12,6.3,37.6,
2008,1,3.0,56.5,
2008,2,2.1,63.1,
2008,3,7.5,152.9,
2008,4,12.6,184.6,
2008,5,17.0,223.2,
2008,6,20.3,201.1,
2008,7,25.4,135.0,
2008,8,25.8,189.7,
2008,9,22.7,180.3,
2008,10,17.4,158.5,
2008,11,10.3,95.0,
2008,12,6.8,92.1,
2009,1,3.7,82.9,
2009,2,4.2,70.0,
2009,3,6.3,143.2,
2009,4,11.8,183.9,
2009,5,17.6,183.0,
2009,6,21.4,183.3,
2009,7,23.7,100.8,
2009,8,24.9,155.1,
2009,9,21.6,158.0,
2009,10,16.7,162.1,
2009,11,11.5,106.1,
2009,12,5.7,57.8,
2010,1,3.4,52.6,
2010,2,2.9,80.2,
2010,3,5.6,84.5,
2010,4,9.7,122.2,
2010,5,15.7,177.2,
2010,6,21.6,187.3,
2010,7,26.3,202.6,
2010,8,29.0,257.7,
2010,9,23.7,142.5,
2010,10,17.6,116.1,
2010,11,10.8,95.0,
2010,12,6.7,65.5,
2011,1,1.3,49.4,
2011,2,3.7,112.9,
2011,3,4.2,137.3,
2011,4,10.2,183.5,
2011,5,16.3,188.1,
2011,6,21.2,163.8,
2011,7,26.5,220.0,
2011,8,27.0,196.5,
2011,9,23.7,176.3,
2011,10,16.7,152.2,
2011,11,11.8,95.5,
2011,12,4.4,52.9,
2012,1,1.6,52.9,
2012,2,1.0,64.3,
2012,3,5.3,98.3,
2012,4,11.2,160.7,
2012,5,16.3,193.0,
2012,6,20.6,220.1,
2012,7,25.4,173.9,
2012,8,27.9,283.9,
2012,9,25.2,221.9,
2012,10,17.3,151.5,
2012,11,9.9,64.9,
2012,12,3.9,57.2,
2013,1,1.8,64.2,
2013,2,1.5,76.6,
2013,3,6.0,149.1,
2013,4,10.1,157.4,
2013,5,16.3,233.9,
2013,6,22.1,236.0,
2013,7,25.1,101.1,
2013,8,26.9,203.2,
2013,9,22.9,177.2,
2013,10,18.3,124.5,
2013,11,9.8,82.6,
2013,12,5.2,55.8,
2014,1,2.5,71.9,
2014,2,2.5,60.8,
2014,3,6.1,127.3,
2014,4,11.1,244.1,
2014,5,17.1,223.7,
2014,6,22.0,202.0,
2014,7,24.9,195.0,
2014,8,26.1,145.2,
2014,9,21.6,212.6,
2014,10,16.0,160.4,
2014,11,11.1,93.5,
2014,12,3.4,27.7,
2015,1,3.1,53.6,
2015,2,3.9,58.5,
2015,3,7.0,147.3,
2015,4,12.1,172.0,
2015,5,18.6,221.8,
2015,6,21.2,192.9,
2015,7,25.2,189.6,
2015,8,25.8,183.9,
2015,9,21.1,121.9,
2015,10,15.8,194.2,
2015,11,12.1,77.4,
2015,12,7.0,71.5,
2016,1,3.1,23.9,
2016,2,3.6,81.3,
2016,3,6.9,157.6,
2016,4,12.4,198.5,
2016,5,18.4,224.5,
2016,6,21.4,193.2,
2016,7,24.6,152.0,
2016,8,27.0,271.9,
2016,9,23.4,130.5,
2016,10,16.4,134.1,
2016,11,9.9,106.5,
2016,12,6.4,64.4,
2017,1,3.1,52.5,
2017,2,3.3,72.9,
2017,3,6.1,144.2,
2017,4,11.6,192.7,
2017,5,17.7,234.1,
2017,6,19.0,177.9,
2017,7,25.9,197.7,
2017,8,26.2,171.6,
2017,9,21.7,190.2,
2017,10,16.4,75.0,
2017,11,9.1,91.6,
2017,12,3.9,42.1,
2018,1,1.7,54.5,
2018,2,1.4,83.9,
2018,3,7.5,175.1,
2018,4,12.7,175.5,
2018,5,17.0,164.3,
2018,6,21.1,189.1,
2018,7,27.4,262.5,
2018,8,26.6,186.1,
2018,9,21.8,113.9,
2018,10,17.2,141.6,
2018,11,11.6,95.7,
2018,12,5.9,56.6,
