月,PC1,PC2,SVM正答率
1,0.94044694,0.05501875,0.7647058823529411
2,0.95987742,0.03671834,0.8235294117647058
3,0.97877497,0.0193446,0.8235294117647058
4,0.98180313,0.01648157,0.8823529411764706
5,0.99118479,0.0081151,0.8235294117647058
6,0.99095959,0.00849709,0.7647058823529411
7,0.9937733,0.00582007,0.8235294117647058
8,0.99578371,0.00397533,0.7647058823529411
9,0.98491799,0.01351533,0.7647058823529411
10,0.98462373,0.0138211,0.5882352941176471
11,0.97059374,0.02537883,0.6470588235294118
12,0.94308063,0.05111679,0.7647058823529411
